currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01300000,PL	15.68 p	16.03 	14.43 	13.39 	14.63 	15.06 	17.53 	19.63 	18.37 	12.31 	9.49 	18.33 	16.94 	10.33 	9.28 	10.80 	10.95 	11.33 	13.08 	12.50 
EUR,01300000,PT	19.41 	19.21 	17.78 	18.99 	19.61 	19.37 	20.16 	21.55 	19.53 	14.04 	14.09 	21.91 	17.76 	12.76 	13.17 	14.81 	13.51 	13.70 	15.11 	12.09 
EUR,01300000,RO	18.54 	17.62 	16.85 	17.82 	19.35 	20.25 	23.53 	22.43 	21.47 	13.77 	13.44 	21.75 	20.10 	11.34 	11.05 	15.32 	17.17 	11.32 	15.77 	14.53 
EUR,01300000,SE	12.93 	19.05 	12.94 	12.43 	13.22 	13.80 	15.95 	18.84 	17.61 	14.36 	8.57 	14.98 	19.45 	10.70 	9.25 	9.33 	9.74 	9.55 	9.94 	10.55 
EUR,01300000,SI	13.72 	14.24 	12.88 	13.30 	13.38 	15.33 	17.73 	17.96 	18.08 	10.84 	10.46 	15.94 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01300000,SK	16.62 	16.27 	15.36 	13.97 	15.14 	16.65 	19.06 	19.69 	19.01 	13.52 	12.74 	17.79 	17.02 	10.39 	9.09 	10.19 	10.20 	10.61 	10.35 	9.06 
EUR,01300000,UK	14.67 	16.75 	13.77 	12.46 	14.41 	14.89 	18.6 	20.64 	17.88 	12.39 	10.37 	15.65 	16.94 	10.84 	9.46 	10.73 	10.09 	9.27 	11.06 	10.88 
EUR,01310000,AT	12.33 p	13.69 	11.60 	10.23 	11.80 	11.11 	13.96 	18.31 	15.75 	12.14 	8.24 p	13.08 	14.82 	8.70 	8.09 	7.96 	8.87 	8.79 	9.59 	9.75 
EUR,01310000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,BG	14.74 	14.96 	13.77 	13.79 	15.15 	15.04 	17.37 	19.41 	16.01 	10.01 	10.43 	14.55 	12.22 	8.30 	7.83 	9.65 	9.11 	7.47 	9.31 	8.39 
EUR,01310000,CY	20.37 	20.20 	17.30 	17.90 	20.50 	29.70 	26.00 	36.10 	19.50 	12.80 	12 	20.2 	11.96 	11.96 	11.96 	: 	: 	: 	: 	: 
EUR,01310000,CZ	15.35 	14.31 	12.42 	12.06 	13.31 	14.38 	17.28 	18.05 	16.36 	10.44 	9.39 	17.15 	13.24 	8.65 	8.01 	9.89 	8.44 	9.56 	9.55 	7.30 
EUR,01310000,DE	15.69 	16.55 	13.61 	12.60 	14.53 	15.25 	18.27 	20.55 	18.46 	12.54 	9.56 	16.79 	16.61 	10.24 	9.38 	10.66 	10.18 	9.36 	10.34 	10.97 
EUR,01310000,DK	17.30 	17.20 	14.80 	14.00 	16.16 	15.09 	19.03 	21.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,EE	: 	15.73 	13.56 	12.76 	14.88 	16.5 	16.51 	19.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,EL	15.89 	15.29 	15.52 	15.87 	16.39 	15.82 	19.2 	20.05 	20.04 	15.96 	13.84 	21.01 	22.02 	15.36 	13.75 	15.17 	14.13 	13.57 	14.37 	13.68 
EUR,01310000,ES	16.90 	16.56 	16.15 	14.60 	17.07 	16.22 	17.95 	22.38 	19.51 	15.13 	12.39 	16.66 	18.30 	12.57 	13.12 	12.54 	12.03 	11.78 	12.43 	11.43 
EUR,01310000,FI	16.53 	17.09 	12.93 	12.36 	13.61 	13.15 	17.43 	18.67 	16.24 	11.26 	9.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,FR	: 	: 	: 	18.70 	22.80 	22.5 	26.41 	30.12 	18.95 	12.92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,HR	13.61 	13.21 	11.66 	12.70 	13.83 	14.63 	15.45 	16.23 	18.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01310000,HU	13.55 	13.50 	: 	11.76 	13.34 	13.63 	15.27 	17.9 	16.40 	9.77 	9.08 	13.73 	14.10 	8.74 	8.02 	8.90 	9.90 	8.20 	7.92 	: 
EUR,01310000,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	9.84 	10.93 	9.41 	10.33 	10.19 
EUR,01310000,LT	13.90 	16.07 	12.92 	11.50 	13.72 	13.39 	17.20 	19.51 	17.29 	12.55 	8.84 	13.81 	17.53 	10.49 	8.71 	9.46 	9.41 	10.10 	9.06 	: 
EUR,01310000,LU	13.31 	15.17 	12.53 	11.26 	14.17 	12.65 	14.44 	20 	16 	12.5 	7.67 	10.00 	15.00 	9.38 	8.25 	8.00 	9.18 	7.73 	9.05 	9.48 
EUR,01310000,LV	13.71 	16.04 	12.61 	12.08 	13.24 	13.15 	15.96 	19.83 	16.74 	13.05 	8.76 	13.14 	16.4 	9.59 	8.23 	: 	: 	: 	: 	: 
EUR,01310000,NL	15.25 	19.15 	14.15 	13.35 	15.15 	15.05 	17.7 	21.8 	18.45 	15.95 	9.60 	14.60 	19.60 	11.45 	9.85 	10.60 	11.85 	9.15 	10.45 	10.55 
EUR,01310000,PL	15.42 p	15.72 	13.80 	12.28 	13.62 	14.34 	17.33 	18.78 	17.35 	11.50 	8.88 	17.29 	16.00 	9.89 	8.34 	10.54 	10.19 	9.61 	11.64 	11.76 
EUR,01310000,PT	17.00 	17.04 	16.50 	18.96 	18.00 	18.65 	19.37 	21.00 	18.00 	14.34 	13.00 	18.43 	17.34 	11.81 	12.09 	12.90 	11.56 	11.19 	12.81 	10.99 
EUR,01310000,RO	18.97 	18.26 	18.17 	18.48 	20.02 	20.25 	24.44 	22.65 	21.70 	15.19 	14.39 	24.20 	21.90 	11.63 	11.05 	: 	: 	: 	: 	: 
EUR,01310000,SE	12.35 	17.29 	11.91 	11.48 	12.29 	13.06 	15.6 	18.38 	16.83 	13.74 	8.38 	13.21 	17.41 	9.90 	8.83 	: 	: 	: 	: 	: 
EUR,01310000,SI	13.72 	14.24 	12.88 	13.30 	13.38 	15.33 	17.73 	17.96 	18.08 	10.84 	10.46 	15.94 	14.57 	11.00 	10.02 	9.81 	11.99 	15.28 	16.93 	13.19 
EUR,01310000,SK	13.52 	13.40 	12.09 	11.27 	12.61 	13.26 	15.93 	17.06 	16.47 	11.20 	9.43 	13.24 	12.35 	8.76 	8.39 	9.39 	8.92 	8.90 	9.05 	7.91 
EUR,01320000,AT	17.33 p	17.01 	16.03 	13.39 	14.80 	16.31 	17.73 	20.62 	18.94 	17.38 	9.61 p	16.25 	15.75 	10.78 	9.30 	9.80 	10.82 	11.10 	12.11 	11.33 
EUR,01320000,BE	: 	: 	: 	: 	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01320000,BG	: 	: 	13.51 	14.35 	15.96 	15.68 	16.84 	19.33 	16.30 	10.16 	11.26 	15.19 	12.78 	8.92 	8.84 	9.35 	9.54 	7.94 	9.32 	8.87 
EUR,01320000,CZ	20.10 	18.56 	16.90 	16.50 	17.89 	18.74 	21.48 	20.48 	19.61 	13.48 	14.56 	24.10 	17.03 	11.47 	11.10 	12.02 	12.16 	13.42 	13.20 	10.26 
EUR,01320000,DE	19.22 	20.47 	18.12 	16.54 	17.78 	18.39 	20.47 	22.30 	22.97 	14.33 	11.36 	22.17 	23.12 	12.98 	10.56 	11.93 	12.70 	12.60 	13.79 	13.50 
EUR,01320000,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.30 	27.03 	17.63 	16.69 	15.16 	14.96 	14.72 	14.41 	14.51 
EUR,01320000,ES	17.58 	17.34 	16.58 	15.23 	17.47 	16.84 	18.83 	22.06 	19.31 	14.41 	12.98 	18.09 	18.58 	12.58 	13.85 	12.96 	12.47 	11.94 	12.77 	11.64 
EUR,01320000,FI	15.54 	17.77 	15.53 	15.19 	15.73 	16.01 	21.2 	21.13 	19.35 	13.15 	13.18 	24.17 	16.25 	11.44 	11.53 	12.74 	13.47 	13.38 	13.18 	13.05 
EUR,01320000,FR	: 	: 	: 	28.10 	29.50 	30 	31.87 	37.44 	24.44 	15.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01320000,HR	16.15 	15.64 	15.16 	13.54 	16.72 	17.15 	17.44 	20.95 	20.48 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01320000,HU	16.07 	13.50 	: 	13.92 	15.69 	16.02 	17.75 	23.27 	20.44 	14.49 	11.04 	16.72 	18.57 	11.34 	9.97 	10.93 	12.06 	13.76 	12.79 	12.00 
EUR,01320000,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	10.30 	12.50 	10.79 	11.64 	11.44 
EUR,01320000,LT	18.00 	18.48 	16.53 	15.78 	16.69 	17.23 	21.28 	22.60 	20.80 	14.56 	11.42 	19.75 	22.87 	12.09 	11.39 	11.58 	12.26 	12.90 	13.09 	: 
EUR,01320000,LU	14.86 	15.82 	12.38 	16.00 	18.15 	15.54 	16.45 	20.25 	16.82 	12.75 	7.67 	10.00 	21.00 	11.75 	9.25 	9.50 	10.61 	9.93 	11.16 	11.53 
EUR,01320000,LV	17.29 	18.50 	14.41 	13.22 	13.68 	12.09 	18.11 	22.33 	17.02 	16.93 	9.81 	13.25 	19.81 	9.45 	8.89 	13.00 	12.64 	10.00 	14.27 	9.28 
EUR,01320000,NL	15.40 	19.35 	15.70 	15.20 	15.75 	15.25 	18.11 	22.6 	20.70 	17.20 	9.75 	17.80 	23.00 	13.00 	10.75 	10.80 	12.05 	11.40 	12.25 	12.25 
EUR,01320000,PL	16.09 p	16.48 	15.33 	15.32 	16.22 	16.09 	17.77 	21.61 	20.19 	14.21 	10.75 	19.62 	18.42 	11.50 	10.73 	11.28 	12.09 	13.32 	15.15 	13.76 
